00001,  35.6724,  23.0314,     922.
00002,  31.6635,  22.0852,     471.
00003,  37.6235,  36.3881,    6999.
00004,  44.4007,  32.5972,    3740.
00005,  40.0590,  34.4793,    6658.
00006,  40.5906,  34.7200,    6509.
00007,  40.7594,  36.3426,    6870.
00008,  40.2548,  35.9197,    7098.
00009,  40.2586,  37.5727,    7279.
00010,  39.9170,  38.2005,    7748.
00011,  39.7429,  39.1042,    8302.
00012,  41.2193,  37.3087,    7016.
00013,  41.2440,  37.2936,    7105.
00014,  42.4017,  36.1434,    6782.
00015,  42.3932,  36.8262,    7184.
00016,  42.2546,  36.7352,    7204.
00017,  42.5890,  35.6852,    7232.
00018,  42.3512,  35.2267,    8258.
00019,  42.1063,  37.1739,    8486.
00020,  44.2367,  28.1615,    3715.
00021,  88.2470,  35.5960,    9907.
00022,  92.8265,  36.2300,    9516.
00023,  92.4485,  36.3245,    9982.
00024,  93.6804,  36.7750,    9616.
00025,  93.3092,  37.0522,   10057.
00026,  93.9771,  37.2859,    9920.
00027,  92.4856,  36.8064,   10556.
00028,  94.1246,  37.3449,    9970.
00029,  94.2567,  37.3451,   10081.
00030,  91.9848,  36.5926,   10746.
00031,  93.2987,  36.9454,   10378.
00032,  91.5723,  36.3920,   10853.
00033,  90.9679,  36.1351,   11037.
00034,  91.0614,  36.0660,   10887.
00035,  90.4286,  35.9148,   11102.
00036,  89.7617,  35.8123,   11352.
00037,  87.4897,  35.7303,   11930.
00038,  87.5007,  35.2973,   11466.
00039,  85.2332,  35.4795,   11759.
00040,  83.6739,  35.9103,   11657.
00041,  80.0145,  37.4396,   12199.
00042,  66.0996,  40.9485,   14255.
00043,  29.1345,  21.9425,    1113.
00044,  26.8925,  22.6421,    1940.
00045,  35.9718,  23.2964,    1536.
00046,  33.5398,  22.9025,     678.
00047,  43.3177,  34.6091,    4255.
00048,  40.5461,  34.9982,    6693.
00049,  40.4803,  35.5150,    6826.
00050,  40.5377,  36.6719,    6981.
00051,  40.1908,  37.2292,    7370.
00052,  40.7021,  37.5212,    7178.
00053,  41.2461,  36.5586,    6461.
00054,  40.9996,  37.4923,    7155.
00055,  41.9218,  35.9545,    6236.
00056,  41.2271,  37.8458,    7501.
00057,  41.9189,  36.2661,    6726.
00058,  42.7142,  35.7839,    7534.
00059,  42.9840,  34.9228,    7432.
00060,  42.4363,  35.2280,    7542.
00061,  41.8782,  33.8849,    8408.
00062,  47.3604,  45.3997,    8425.
00063,  86.9116,  35.9265,   10222.
00064,  89.8272,  35.5774,   10097.
00065,  92.2443,  36.2106,    9985.
00066,  93.6682,  36.8406,    9536.
00067,  93.8970,  37.1775,    9840.
00068,  94.6580,  37.5266,    9741.
00069,  94.0708,  37.3155,    9977.
00070,  94.4622,  37.4365,    9876.
00071,  93.8654,  37.2426,   10113.
00072,  92.1406,  36.7074,   10770.
00073,  92.9565,  36.8775,   10460.
00074,  91.4269,  36.3283,   10916.
00075,  91.8670,  36.3962,   10754.
00076,  90.5150,  35.9457,   11067.
